gene_id,level,gwas_year,patents_before,patents_after
7040,3,2007,2.0,25.0
1432,3,2007,46.0,27.0
5600,3,2007,2.0,0.0
3572,2,2007,1.0,2.0
3605,2,2007,2.0,46.0
59067,2,2007,3.0,14.0
50615,2,2007,1.0,7.0
50616,2,2007,1.0,14.0
2475,3,2007,1.0,12.0
4089,1,2007,0.0,1.0
112744,2,2007,0.0,26.0
7046,2,2007,0.0,3.0
4773,3,2007,0.0,5.0
3091,2,2007,0.0,14.0
3594,2,2007,0.0,7.0
6778,3,2007,0.0,1.0
861,3,2007,0.0,2.0
4087,1,2007,0.0,1.0
50943,2,2007,0.0,4.0
3561,2,2007,0.0,2.0
3570,2,2007,6.0,25.0
6774,1,2007,1.0,16.0
149233,0,2007,0.0,19.0
6097,2,2007,0.0,38.0
4088,1,2007,0.0,2.0
