gene_id,disease_id,source_gwas_year,source_gwas_gene,hop
2,D015212,2012,5328,1
18,D015212,2019,7915,1
25,D015212,2015,2050,1
28,D015212,2010,2524,1
31,D015212,2016,2194,1
32,D015212,2016,2194,1
47,D015212,2015,50,1
54,D015212,2015,2355,1
60,D015212,2016,5962,1
71,D015212,2016,5962,1
81,D015212,2014,9223,1
87,D015212,2014,9223,1
90,D015212,2010,4088,1
91,D015212,2010,4088,1
92,D015212,2010,4088,1
93,D015212,2010,4088,1
100,D015212,2008,144811,1
107,D015212,2012,5579,1
108,D015212,2012,5579,1
111,D015212,2012,5579,1
112,D015212,2012,5579,1
115,D015212,2012,5579,1
117,D015212,2016,2776,1
124,D015212,2013,8854,1
125,D015212,2013,8854,1
126,D015212,2013,8854,1
127,D015212,2013,8854,1
128,D015212,2013,8854,1
130,D015212,2013,8854,1
131,D015212,2013,8854,1
132,D015212,2008,144811,1
135,D015212,2016,2776,1
136,D015212,2016,2776,1
146,D015212,2011,2768,1
147,D015212,2011,2768,1
148,D015212,2011,2768,1
150,D015212,2011,2768,1
151,D015212,2011,2768,1
152,D015212,2011,2768,1
177,D015212,2012,5579,1
181,D015212,2008,6774,1
182,D015212,2015,4851,1
183,D015212,2012,4790,1
185,D015212,2011,2768,1
186,D015212,2016,2776,1
187,D015212,2016,2776,1
191,D015212,2010,1788,1
207,D015212,2012,1326,1
208,D015212,2012,1326,1
214,D015212,2012,923,1
238,D015212,2012,3717,1
239,D015212,2015,5321,1
240,D015212,2015,5321,1
242,D015212,2015,5321,1
246,D015212,2015,5321,1
247,D015212,2015,5321,1
262,D015212,2010,1788,1
268,D015212,2012,4790,1
316,D015212,2013,8854,1
318,D015212,2012,114,1
329,D015212,2012,4790,1
330,D015212,2012,4790,1
331,D015212,2012,4790,1
332,D015212,2012,4790,1
353,D015212,2008,144811,1
356,D015212,2015,8771,1
369,D015212,2012,5579,1
375,D015212,2015,9267,1
382,D015212,2015,9267,1
383,D015212,2016,4843,1
384,D015212,2016,4843,1
387,D015212,2010,3559,1
405,D015212,2015,4772,1
406,D015212,2012,6097,1
410,D015212,2015,2581,1
427,D015212,2015,2581,1
435,D015212,2016,4843,1
445,D015212,2016,4843,1
468,D015212,2012,5579,1
487,D015212,2013,100507027,1
488,D015212,2013,100507027,1
489,D015212,2013,100507027,1
537,D015212,2012,5579,1
551,D015212,2016,2917,1
552,D015212,2011,2768,1
553,D015212,2011,2768,1
554,D015212,2011,2768,1
558,D015212,2012,3717,1
595,D015212,2008,6774,1
596,D015212,2012,4790,1
597,D015212,2012,4790,1
598,D015212,2011,11315,1
602,D015212,2012,4790,1
613,D015212,2016,6464,1
623,D015212,2016,2776,1
624,D015212,2016,2776,1
640,D015212,2012,55024,1
643,D015212,2012,3717,1
657,D015212,2010,4088,1
658,D015212,2010,4088,1
659,D015212,2010,4088,1
664,D015212,2015,5970,1
673,D015212,2012,5579,1
695,D015212,2017,5336,1
710,D015212,2012,5328,1
718,D015212,2007,55054,1
719,D015212,2012,4790,1
728,D015212,2012,4790,1
773,D015212,2012,5579,1
774,D015212,2015,10125,1
775,D015212,2012,5579,1
776,D015212,2012,5579,1
777,D015212,2015,10125,1
778,D015212,2012,5579,1
779,D015212,2012,5579,1
782,D015212,2015,10125,1
783,D015212,2015,10125,1
784,D015212,2015,10125,1
785,D015212,2015,10125,1
786,D015212,2015,10125,1
799,D015212,2011,3375,1
801,D015212,2012,114,1
805,D015212,2012,114,1
808,D015212,2012,114,1
810,D015212,2012,114,1
814,D015212,2012,114,1
816,D015212,2010,781,1
