gene_id,disease_id,gwas_year,gene_prob,dis_prob,gene_abstract,gene_title,dis_abstract,dis_title,patent_year,num_patents,extensive_flag,gwas_1hop,gwas_2hop,gwas_3hop,gwas_source_1hop,gwas_source_2hop,gwas_source_3hop,gwas_0hop,gwas_level,gwas_year_chosen,gwas_source_gene
7040,D015212,,0.9980162,0.999999,0.0,0.0,0.0,0.0,2000,1,1,2010,,,4088,,,,1,2010,4088
3570,D015212,2016,0.99842894,0.99999815,1.0,0.0,2.0,2.0,2000,2,1,,,,,,,2016.0,0,2016,
1432,D015212,,0.99991775,0.99999905,0.0,0.0,0.0,0.0,2000,3,1,2009,,,2212,,,,1,2009,2212
7040,D015212,,0.9980162,0.999999,0.0,0.0,0.0,0.0,2001,0,0,2010,,,4088,,,,1,2010,4088
3570,D015212,2016,0.99842894,0.99999815,1.0,0.0,2.0,2.0,2001,2,1,,,,,,,2016.0,0,2016,
1432,D015212,,0.99991775,0.99999905,0.0,0.0,0.0,0.0,2001,3,1,2009,,,2212,,,,1,2009,2212
7040,D015212,,0.9980162,0.999999,0.0,0.0,0.0,0.0,2002,0,0,2010,,,4088,,,,1,2010,4088
3570,D015212,2016,0.99842894,0.99999815,1.0,0.0,2.0,2.0,2002,0,0,,,,,,,2016.0,0,2016,
1432,D015212,,0.99991775,0.99999905,0.0,0.0,0.0,0.0,2002,9,1,2009,,,2212,,,,1,2009,2212
7040,D015212,,0.9980162,0.999999,0.0,0.0,0.0,0.0,2003,0,0,2010,,,4088,,,,1,2010,4088
3570,D015212,2016,0.99842894,0.99999815,1.0,0.0,2.0,2.0,2003,1,1,,,,,,,2016.0,0,2016,
1432,D015212,,0.99991775,0.99999905,0.0,0.0,0.0,0.0,2003,13,1,2009,,,2212,,,,1,2009,2212
7040,D015212,,0.9980162,0.999999,0.0,0.0,0.0,0.0,2004,0,0,2010,,,4088,,,,1,2010,4088
3570,D015212,2016,0.99842894,0.99999815,1.0,0.0,2.0,2.0,2004,1,1,,,,,,,2016.0,0,2016,
1432,D015212,,0.99991775,0.99999905,0.0,0.0,0.0,0.0,2004,6,1,2009,,,2212,,,,1,2009,2212
7040,D015212,,0.9980162,0.999999,0.0,0.0,0.0,0.0,2005,0,0,2010,,,4088,,,,1,2010,4088
3570,D015212,2016,0.99842894,0.99999815,1.0,0.0,2.0,2.0,2005,0,0,,,,,,,2016.0,0,2016,
1432,D015212,,0.99991775,0.99999905,0.0,0.0,0.0,0.0,2005,2,1,2009,,,2212,,,,1,2009,2212
7040,D015212,,0.9980162,0.999999,0.0,0.0,0.0,0.0,2006,0,0,2010,,,4088,,,,1,2010,4088
3570,D015212,2016,0.99842894,0.99999815,1.0,0.0,2.0,2.0,2006,0,0,,,,,,,2016.0,0,2016,
1432,D015212,,0.99991775,0.99999905,0.0,0.0,0.0,0.0,2006,3,1,2009,,,2212,,,,1,2009,2212
7040,D015212,,0.9980162,0.999999,0.0,0.0,0.0,0.0,2007,1,1,2010,,,4088,,,,1,2010,4088
