patent_year,0,1,2,3
2000,0.0,0.0,0.15384615384615385,0.5714285714285714
2001,0.0,0.0,0.15384615384615385,0.42857142857142855
2002,0.0,0.0,0.0,1.5714285714285714
2003,0.0,0.0,0.15384615384615385,1.8571428571428572
2004,0.0,0.0,0.07692307692307693,0.8571428571428571
2005,0.0,0.0,0.15384615384615385,0.2857142857142857
2006,0.0,0.25,0.07692307692307693,0.42857142857142855
2007,0.0,0.0,0.3076923076923077,1.2857142857142858
2008,0.0,0.25,0.0,1.0
2009,0.0,0.0,0.3076923076923077,0.14285714285714285
2010,0.0,0.0,0.23076923076923078,0.14285714285714285
2011,0.0,0.0,0.5384615384615384,0.42857142857142855
2012,1.0,0.0,0.8461538461538461,1.5714285714285714
2013,2.0,0.25,1.1538461538461537,0.2857142857142857
2014,1.0,0.75,0.6923076923076923,0.8571428571428571
2015,3.0,0.25,0.9230769230769231,0.42857142857142855
2016,2.0,0.25,1.1538461538461537,0.8571428571428571
2017,2.0,0.25,2.4615384615384617,2.142857142857143
2018,4.0,0.5,2.0,0.2857142857142857
2019,3.0,1.0,2.3076923076923075,1.1428571428571428
2020,1.0,1.5,2.923076923076923,1.0
