patent_year,distance,num_patents
2000,0,0.0
2000,1,0.0
2000,2,2.0
2000,3,4.0
2001,0,0.0
2001,1,0.0
2001,2,2.0
2001,3,3.0
2002,0,0.0
2002,1,0.0
2002,2,0.0
2002,3,11.0
2003,0,0.0
2003,1,0.0
2003,2,2.0
2003,3,13.0
2004,0,0.0
2004,1,0.0
2004,2,1.0
2004,3,6.0
2005,0,0.0
2005,1,0.0
2005,2,2.0
2005,3,2.0
2006,0,0.0
2006,1,1.0
2006,2,1.0
2006,3,3.0
2007,0,0.0
2007,1,0.0
2007,2,4.0
2007,3,9.0
2008,0,0.0
2008,1,1.0
2008,2,0.0
2008,3,7.0
2009,0,0.0
2009,1,0.0
2009,2,4.0
2009,3,1.0
2010,0,0.0
2010,1,0.0
2010,2,3.0
2010,3,1.0
2011,0,0.0
2011,1,0.0
2011,2,7.0
2011,3,3.0
2012,0,1.0
2012,1,0.0
2012,2,11.0
2012,3,11.0
2013,0,2.0
2013,1,1.0
2013,2,15.0
2013,3,2.0
2014,0,1.0
2014,1,3.0
2014,2,9.0
2014,3,6.0
2015,0,3.0
2015,1,1.0
2015,2,12.0
2015,3,3.0
2016,0,2.0
2016,1,1.0
2016,2,15.0
2016,3,6.0
2017,0,2.0
2017,1,1.0
2017,2,32.0
2017,3,15.0
2018,0,4.0
2018,1,2.0
2018,2,26.0
2018,3,2.0
2019,0,3.0
2019,1,4.0
2019,2,30.0
2019,3,8.0
2020,0,1.0
2020,1,6.0
2020,2,38.0
2020,3,7.0
